#{"t_start": 1775447691.790598, "env_id": "None"}
r,l,t
124.114207,220,3.607676
89.239723,220,6.267457
104.784163,220,9.049408
126.122595,220,11.768251
129.969641,220,15.350298
129.083378,220,17.936393
109.265776,220,20.402939
122.082887,220,23.136544
120.327734,220,25.538795
93.415662,220,28.384916
117.958163,220,30.978255
125.402995,220,33.475145
111.215954,220,36.00889
124.787865,220,39.335132
105.894052,220,42.160094
101.489953,220,45.106992
117.001372,220,47.847611
123.172948,220,50.563779
116.03702,220,54.314075
114.897697,220,57.158723
107.375469,220,59.900856
127.073901,220,62.79845
112.490134,220,65.457682
121.214787,220,69.123489
124.128555,220,72.020387
128.723443,220,74.83502
107.090498,220,77.614632
115.279422,220,80.988542
112.621091,220,83.679429
96.766597,220,86.286429
121.354546,220,88.874907
134.232131,220,91.687429
116.05,220,95.080603
103.24335,220,97.745342
99.223553,220,100.659691
126.081973,220,103.512015
104.950558,220,106.269693
109.348903,220,109.901786
118.078997,220,112.628064
112.578345,220,115.3735
119.126741,220,118.199591
113.93632,220,121.744667
119.427649,220,124.390013
141.906908,220,127.252498
95.24922,220,130.029255
115.148362,220,132.775884
96.547387,220,136.448575
123.478034,220,139.28012
101.382165,220,142.227483
133.303126,220,145.071504
115.477367,220,147.805405
95.856034,220,151.676919
102.084676,220,154.350313
120.959704,220,157.207521
98.525535,220,160.002587
116.603696,220,163.656787
106.302684,220,166.391083
100.178096,220,169.17155
99.891587,220,172.095803
126.271914,220,175.025597
99.716198,220,178.623359
113.630687,220,181.286267
112.346581,220,184.187284
112.564241,220,187.025112
114.434138,220,189.899059
106.468678,220,193.591236
111.909152,220,196.357223
95.206575,220,199.037814
107.58013,220,202.02315
118.399551,220,205.515319
110.239177,220,208.489045
103.032575,220,211.292001
112.078064,220,214.69081
104.540308,220,217.470426
97.533744,220,221.600322
103.109848,220,224.480727
102.636746,220,227.178645
108.985122,220,230.346027
147.729492,220,233.286396
94.469875,220,237.023467
119.18802,220,239.948821
109.796813,220,242.815653
111.316012,220,245.626043
108.380032,220,249.131347
104.120425,220,251.906426
117.860553,220,254.592193
101.556743,220,257.220532
115.926212,220,260.071365
95.354654,220,263.543417
96.809514,220,266.424518
120.089997,220,269.361068
105.441533,220,272.140736
103.121208,220,274.939976
109.060895,220,278.421617
94.979151,220,281.02457
101.125474,220,283.652441
105.599143,220,286.204829
104.047472,220,289.68803
133.971018,220,292.240793
110.574092,220,294.755198
92.149885,220,297.278922
119.047032,220,299.801588
88.589488,220,303.108098
111.703819,220,305.672458
114.95737,220,308.198808
104.185877,220,310.70942
108.621939,220,313.274526
108.107454,220,316.792627
97.804311,220,319.480783
123.697808,220,322.291127
94.493952,220,324.941188
108.956685,220,328.190457
82.755495,220,330.811015
118.642708,220,333.498123
95.123266,220,336.076301
110.643315,220,338.600116
120.040973,220,342.35431
93.109607,220,344.784019
109.372695,220,347.276443
121.345299,220,349.773195
99.268204,220,352.418386
107.566412,220,355.481546
121.630098,220,358.090039
96.296975,220,360.708348
92.676687,220,363.32338
110.19471,220,366.98779
124.494932,220,369.564692
95.256783,220,372.238507
132.809536,220,374.851386
117.185961,220,377.429415
99.971538,220,381.383869
100.815897,220,384.109129
110.390964,220,386.813509
141.890842,220,389.526054
104.917948,220,393.053066
92.311471,74,394.168098
109.394632,220,396.883106
112.782276,220,399.577197
98.249372,220,402.203214
96.875323,220,404.85934
119.586253,220,408.434076
96.667507,220,411.065527
118.409706,220,413.76492
119.295951,220,416.399766
99.210137,220,419.599368
118.943891,220,422.197682
111.021943,220,424.991282
91.635476,220,427.712452
115.125351,220,430.4021
115.283921,220,433.769219
133.843769,220,436.658811
100.920103,220,439.294698
100.757642,220,441.971919
121.369565,220,444.665613
99.214234,220,448.076715
125.558456,220,450.841397
102.253227,220,453.390148
112.411331,220,455.915855
98.952785,220,459.220659
99.381877,220,461.87266
119.726438,220,464.624963
100.337919,220,467.152278
110.306875,220,469.649218
97.655515,220,473.243936
133.936366,220,475.844474
127.177922,220,478.43106
110.408749,220,481.231004
95.130931,220,483.896339
123.737244,220,487.771477
123.567138,220,490.419436
92.377276,220,492.979689
123.620435,220,495.764773
119.428905,220,499.453291
108.142167,220,502.061026
112.970475,220,504.740134
119.5802,220,507.3048
107.745565,220,509.989717
102.382157,220,513.414379
