#{"t_start": 1775478729.8736348, "env_id": "None"}
r,l,t
-2.755022,6,4.594277
-0.307356,7,4.925797
-0.889721,1,5.130519
0.775005,13,5.494876
5.860784,7,5.77555
0.474148,14,6.090065
1.663549,9,6.351785
1.038178,11,6.669887
5.109343,6,6.912673
-1.723258,1,7.125025
-0.895035,8,7.429627
1.668715,9,7.746679
-3.036181,8,8.098692
-0.581749,11,8.46853
-1.440467,1,8.692888
1.034525,13,9.013002
0.03269,15,9.483017
-1.146673,1,9.678416
0.191511,9,9.954034
-1.54232,1,10.156613
-1.731484,11,10.475071
-4.203798,6,10.770749
5.009777,6,11.005935
-1.801436,14,11.313579
-2.772249,14,11.611084
0.704486,12,11.942524
-3.10823,18,12.315299
-1.242474,1,12.508824
5.626041,6,12.766801
-2.472962,13,13.042329
1.704538,21,13.499588
1.984901,15,13.887128
6.749164,6,14.11945
-4.049978,6,14.385788
-5.881659,10,14.678303
1.348075,12,15.013743
-2.277525,6,15.258154
7.28823,4,15.506824
-1.659416,11,15.813761
4.436381,15,16.146063
2.084261,15,16.573924
1.302134,11,16.889746
1.827733,13,17.233192
-1.398679,1,17.467812
5.524021,5,17.677389
-8.910313,20,18.080006
-1.912091,1,18.310208
5.515573,8,18.578286
0.116968,7,18.89957
1.284327,13,19.234183
-1.750252,15,19.576711
7.527966,8,19.88042
-5.171851,23,20.309289
-0.184961,12,20.641662
1.169742,14,20.972806
2.779253,10,21.269931
7.583004,6,21.489459
0.480864,8,21.787817
-0.62832,16,22.097472
-1.345612,1,22.263218
0.058474,15,22.583805
6.336165,4,22.859381
-1.065354,7,23.149124
0.02751,5,23.417492
-1.121031,1,23.69419
-1.210418,1,23.86443
-1.341271,1,24.049594
-0.97864,1,24.296354
0.222572,14,24.626109
1.684417,10,24.908113
1.985764,13,25.24591
-3.923282,15,25.531249
-5.545808,17,25.869125
3.30833,13,26.184324
6.383623,10,26.493291
7.439303,10,26.766077
-1.961967,9,27.022981
-1.832727,3,27.27037
-1.259496,1,27.476518
-1.265448,1,27.692485
-1.400298,1,27.916228
-1.906374,12,28.225122
-3.828801,23,28.679801
0.425141,7,28.959015
1.151455,8,29.236045
6.914148,6,29.485748
-1.310389,1,29.680025
-2.618478,4,29.921613
-1.279304,1,30.142696
-1.273672,1,30.346356
-1.403432,1,30.541562
7.238198,5,30.779096
-4.431895,14,31.107367
0.659933,14,31.500064
2.959143,8,31.812841
-1.179874,12,32.082646
1.897835,9,32.395523
6.423809,8,32.628083
6.549388,4,32.866049
