#{"t_start": 1775529205.7289193, "env_id": "None"}
r,l,t
-1.149783,1,2.550385
-1.245412,1,2.804309
-1.751128,1,3.02626
-1.103196,1,3.320503
-1.785085,1,3.593547
-1.46401,1,3.800367
-1.876105,1,4.010774
-1.71505,1,4.245814
-1.103265,1,4.47924
-1.57506,1,4.667632
-1.898391,1,4.941329
-1.413501,1,5.203538
-1.561255,1,5.447654
-1.438866,1,5.695413
-1.239625,1,5.940233
-1.660582,1,6.169285
-1.138051,1,6.455093
-1.101189,1,6.712763
-1.668073,1,6.981728
-1.736264,1,7.207782
-1.560446,1,7.523597
-1.621756,1,7.780443
-1.25672,1,8.119711
-1.672057,1,8.458402
-1.59618,1,8.750533
-1.071885,1,9.012828
-1.151784,1,9.305511
-1.690339,1,9.64206
-1.812772,1,9.88903
-1.347785,1,10.180185
-1.893492,1,10.436145
-1.123859,1,10.715829
-1.581962,1,10.949831
-0.503905,1,11.197729
-2.228209,1,11.466779
-1.709857,1,11.727267
-1.705917,1,11.970674
-1.492461,1,12.197602
-1.302989,1,12.47761
-1.297271,1,12.761359
-1.180351,1,12.984291
-1.601412,1,13.270457
-1.287073,1,13.54969
-1.485266,1,13.773464
-1.201959,1,14.060877
-1.630035,1,14.32326
-2.330796,1,14.553884
-1.289128,1,14.829975
-1.51565,1,15.049783
-1.577817,1,15.325712
-1.941897,1,15.658358
-1.796642,1,15.905261
-1.90407,1,16.189458
-1.63253,1,16.51138
-1.689573,1,16.756791
-1.911294,1,17.005937
-1.884493,1,17.310689
-1.842901,1,17.591668
-1.926883,1,17.87914
-1.933883,1,18.160521
-1.729856,1,18.389105
-1.511952,1,18.697017
-1.818953,1,19.012382
-1.491474,1,19.263211
-1.436215,1,19.502791
-0.668302,1,19.797462
-1.708503,1,20.085572
-1.968228,1,20.395728
-1.053742,1,20.67194
-1.78269,1,20.929689
-1.1842,1,21.204001
-1.323609,1,21.464091
-1.338823,1,21.729444
-1.114949,1,21.993724
-1.672885,1,22.220011
-2.000786,1,22.500035
-1.726826,1,22.753547
-1.68422,1,23.058373
-1.760265,1,23.358848
-1.736779,1,23.707938
-1.267162,1,23.949881
-1.369017,1,24.24452
-1.620697,1,24.494513
-2.253629,1,24.784819
-1.680503,1,25.071748
-1.662257,1,25.320374
-1.102155,1,25.58188
-1.866256,1,25.858055
-1.80514,1,26.187498
-1.709463,1,26.428969
-1.318867,1,26.730754
-1.649001,1,27.001218
-1.60268,1,27.293818
-1.8847,1,27.598651
-1.822297,1,27.904457
-1.990992,1,28.180475
-1.438001,1,28.470381
-1.660705,1,28.724542
-1.282113,1,29.015716
-1.031149,1,29.268281
-1.54984,1,29.547934
-1.16854,1,29.799704
-1.73855,1,30.073587
-1.526949,1,30.322804
-1.362481,1,30.638651
-1.69214,1,30.958498
-1.683189,1,31.246882
-1.692617,1,31.533357
-1.415372,1,31.797171
-1.819469,1,32.078694
-1.413767,1,32.333907
-1.394843,1,32.640054
-1.942547,1,32.966637
-1.643191,1,33.264502
-1.699285,1,33.523385
-1.748089,1,33.789538
-1.147815,1,34.023381
-1.267347,1,34.334364
-1.449508,1,34.660954
-1.39795,1,34.895911
-1.983383,1,35.137807
-1.693784,1,35.462877
-1.489913,1,35.712113
-1.391469,1,35.935331
-1.779382,1,36.194971
-1.185298,1,36.518805
-1.444188,1,36.804446
-1.244907,1,37.084493
-1.647447,1,37.333763
-1.545937,1,37.617341
-2.009684,1,37.891035
-1.859187,1,38.167554
-1.719354,1,38.450041
-1.514818,1,38.736385
-1.814616,1,39.000958
-1.680892,1,39.314549
-1.583261,1,39.611643
-1.64459,1,39.867403
-1.563952,1,40.134432
-0.700361,1,40.398841
-1.32687,1,40.688668
-1.794431,1,40.91748
-1.864875,1,41.18456
-1.346764,1,41.46755
-1.846337,1,41.752112
-1.136263,1,42.017207
-1.379868,1,42.275645
-0.527398,1,42.573136
-1.570176,1,42.857379
-1.630268,1,43.103493
-1.653216,1,43.420011
-1.758034,1,43.65689
-1.379499,1,43.908654
-1.656602,1,44.132374
-1.887599,1,44.380255
-1.407795,1,44.634581
-1.518033,1,44.889098
-1.671417,1,45.184283
