#{"t_start": 1775474866.5697265, "env_id": "None"}
r,l,t
-3.937851,14,1.761284
-4.730794,32,2.371589
9.371095,30,2.868377
-2.285668,4,3.135831
-0.95187,1,3.322542
7.377008,11,3.61932
-4.121231,20,4.006034
8.555196,17,4.452133
-0.695042,7,4.716989
-1.145659,1,4.862779
-8.644047,44,5.535302
4.24118,14,5.891676
-5.621251,7,6.157984
-0.555474,19,6.566558
-1.077017,5,6.797853
-0.981238,1,7.006687
-1.334108,4,7.194707
-2.84794,18,7.612386
-7.496477,30,8.113903
-1.552623,2,8.321789
-0.795463,56,9.108455
-5.638978,14,9.441451
-5.245668,16,9.883964
-2.080108,23,10.353483
-3.427984,11,10.632939
-6.925179,12,10.932869
4.913424,59,11.759832
-1.8241,1,11.933716
-3.788052,19,12.295134
-0.878537,1,12.483382
-1.513586,7,12.737641
5.945141,13,13.113138
-1.756957,1,13.293688
-1.38074,11,13.590753
-1.160016,1,13.789622
-4.974394,47,14.50496
-2.242807,3,14.747299
-1.666063,1,14.95715
13.36711,139,16.689104
-3.60155,5,16.903886
0.97329,18,17.329533
-5.489916,10,17.61996
-4.996312,6,17.886549
-2.633168,5,18.102179
-1.451618,1,18.319814
4.298024,16,18.661265
5.693352,4,18.85428
-0.492009,4,19.079133
-5.944202,9,19.329286
-1.255002,2,19.519146
12.002232,24,19.97459
-10.981889,50,20.69293
-0.992502,2,20.929853
-1.654656,1,21.174651
-0.936135,1,21.374876
-12.337206,28,21.877997
-1.859461,1,22.067307
-1.241668,1,22.248838
-1.667318,3,22.48206
-1.74934,1,22.64048
-4.737039,23,23.060652
-11.150413,32,23.618916
-1.400586,1,23.848753
14.928765,60,24.683277
1.957578,16,25.901654
-1.053315,1,26.124054
-2.115909,7,26.349162
-3.797065,16,26.699868
2.371654,16,27.04065
-1.945424,1,27.248242
-1.802777,2,27.456647
-4.265192,16,27.793458
-5.436656,35,28.344774
-1.303699,1,28.530338
-2.221893,4,28.767654
-1.588658,1,28.981719
-4.785429,7,29.249142
-0.572929,24,29.692679
-2.533261,9,30.065159
1.238312,64,30.920843
-2.048805,5,31.208836
-1.032988,1,31.46068
-0.407412,3,31.671659
-1.34963,6,31.931494
-4.623824,39,32.56803
-2.90085,4,32.830853
-5.225423,36,33.404244
-2.217033,3,33.652726
-5.396461,8,33.96877
-1.411034,1,34.163196
-1.068085,1,34.376363
-7.52347,16,34.738615
7.234179,10,35.000201
-13.602403,30,35.489259
5.426492,6,35.750061
-0.44557,3,36.012882
5.718151,36,36.526464
-0.213571,3,36.766149
-2.585303,13,37.038579
-1.433852,2,37.239559
-3.091963,6,37.531866
-5.772568,8,37.795772
-2.630907,7,38.110711
-7.418807,16,38.483838
-1.889028,2,38.650756
-1.659016,1,38.829253
6.08699,5,39.069158
-6.0837,15,39.428809
-1.346795,1,39.639265
-3.311753,4,39.879971
-5.960918,17,40.256219
5.961228,8,40.508054
-1.358835,1,40.712174
1.677583,17,41.097933
-4.248009,31,41.584281
-5.925763,20,41.929992
6.632993,11,42.234555
-5.497821,10,42.552951
1.438274,45,43.267113
-0.832657,1,43.475191
-5.73232,22,43.88487
-3.184231,9,44.160853
-0.011762,22,44.545915
-1.471579,1,44.770019
-6.255211,20,45.12872
-1.047374,1,45.346387
-1.608751,4,45.567344
1.792246,59,46.402425
6.913811,19,46.836951
-1.71262,4,47.045167
-2.013329,12,47.356776
-4.290826,12,47.672586
-1.821811,1,47.87605
-2.08953,3,48.103676
-3.397376,9,48.370132
-7.066655,8,48.644261
-3.808031,23,49.103054
-6.016671,9,49.36129
-5.549359,70,50.28547
-2.737062,32,50.810468
-3.377036,33,52.111087
-2.362127,1,52.332761
-1.517643,1,52.517127
0.161566,5,52.74633
-6.052622,51,53.46817
-9.655952,31,54.006792
-2.467998,15,54.405976
-9.411101,22,54.842369
7.41998,4,55.150333
4.048196,19,55.540927
7.066006,7,55.794049
-1.17203,1,55.994123
-1.775163,1,56.197508
-11.276518,72,57.186418
-1.686954,9,57.497404
-9.645991,26,57.913529
4.531015,15,58.246029
-1.584114,1,58.445872
-5.276033,20,58.86727
-2.618893,5,59.105248
-0.832151,1,59.295516
-1.498714,1,59.514627
4.569074,77,60.528786
-1.590144,1,60.725233
-1.805332,1,60.889617
-0.838125,1,61.11711
-1.271475,1,61.339972
-1.549489,22,61.734307
6.347235,15,62.111827
4.653346,63,63.008461
4.953848,13,63.337814
-8.478302,22,63.752797
-6.254487,19,64.163599
-0.860972,1,64.385122
-4.18748,67,65.30058
5.546282,5,65.562777
-1.354176,1,65.781257
-1.587679,1,66.054746
-7.964326,18,66.445628
-6.93515,20,66.863683
-1.677149,1,67.016642
-1.187053,1,67.181365
-0.7882,1,67.397562
-16.733373,27,67.925218
-5.301551,25,68.382304
-0.563712,5,68.611925
-1.356219,1,68.837294
-3.040309,4,69.093602
-2.241241,3,69.321034
-1.190481,1,69.5222
-17.965918,36,70.10054
-2.282399,2,70.285929
-1.144666,1,70.518088
-3.54985,6,70.73963
-2.21685,3,70.949609
-6.335217,11,71.228153
-1.445891,1,71.415437
-11.979781,46,72.061815
-2.044724,3,72.301507
-4.345299,16,72.640433
-0.970325,1,72.81323
0.644651,8,73.117556
-2.412458,9,73.400811
-4.804945,24,73.832798
-1.526066,1,74.024225
-4.054413,8,74.296924
-0.875292,1,74.464962
-0.738525,6,74.682158
-8.49859,11,75.056208
-5.923627,14,75.3809
-4.272399,23,75.809729
-10.308176,33,76.377609
4.602561,55,77.933088
-0.824829,15,78.276041
-11.930258,29,78.747283
-0.782984,30,79.2729
-2.072544,35,79.833053
-0.834948,1,80.032433
3.948268,44,80.702848
-6.895676,23,81.150339
10.013632,17,81.540913
-0.966527,1,81.748158
6.374244,8,81.982742
-4.723973,12,82.31332
-5.92158,27,82.809192
-1.249018,1,83.010498
-10.980123,51,83.714679
-1.527902,1,83.908024
-2.782747,26,84.427822
-1.376598,1,84.686209
-1.751055,1,84.905165
-1.725139,1,85.107968
-1.494771,2,85.327502
8.962112,12,85.645434
-0.892016,12,85.921986
-0.469126,8,86.193988
-3.823106,14,86.524554
0.266923,43,87.178435
9.078086,13,87.535329
-1.255712,8,87.806058
-1.945113,11,88.099491
6.787734,20,88.545342
6.492856,21,88.916873
-1.377777,3,89.151019
-1.823807,1,89.378153
-1.453819,1,89.557885
-1.369886,1,89.769054
-13.268021,47,90.444048
-3.023117,7,90.725468
0.557092,9,90.983513
-8.363889,38,91.540916
-1.361994,1,91.775369
-2.023245,35,92.375255
-1.458276,3,92.536501
-4.87349,9,92.875058
-1.339309,1,93.064354
-1.465177,1,93.261722
-8.823122,20,93.640168
-0.866736,1,93.887697
-10.242786,18,94.255279
-2.640663,31,94.802897
-4.452162,6,95.064276
-1.271956,1,95.333102
-8.821393,34,95.936072
-1.464333,1,96.10653
-2.930548,33,96.673213
-2.922629,7,96.920212
3.663479,33,97.45149
-3.186971,4,97.670842
-1.82572,1,97.883849
-15.94745,54,98.663598
1.179063,24,99.124594
-3.197191,5,99.383647
-5.502808,14,99.729476
-2.053945,7,99.987846
-16.960607,61,101.527254
-1.113365,2,101.754931
3.664511,39,102.363907
-7.82266,13,102.730875
-1.617791,1,102.941829
3.106497,14,103.348946
-4.275418,20,103.775104
-2.704262,16,104.157298
-9.344827,15,104.513582
-0.753835,52,105.272782
6.271217,39,105.912346
3.43978,29,106.413626
-13.911023,47,107.076915
-1.916761,1,107.313445
-4.406822,7,107.60405
-3.65537,18,108.018092
-1.947299,32,108.54241
-1.270857,1,108.782073
2.839512,33,109.261154
-1.269817,15,109.619184
-2.167018,3,109.880039
-1.57044,1,110.113265
7.716914,13,110.41633
8.430195,6,110.677667
-2.151858,5,110.905983
-2.54667,4,111.141047
-0.950881,1,111.341182
-0.547388,16,111.714835
-4.020141,7,112.000848
-3.990388,5,112.226945
-1.433846,9,112.499763
-3.115562,10,112.79164
-2.103634,2,112.98547
-0.850517,35,113.584326
-1.86609,2,113.780493
-1.401233,1,113.995368
7.563151,15,114.349524
-1.691132,1,114.504825
-0.934943,1,114.748149
-6.574322,77,115.732933
-5.010788,40,116.350223
-9.198468,21,116.748593
-1.085774,4,116.974592
-0.953724,1,117.171516
-1.192959,3,117.370247
-2.8134,36,117.949604
-1.686637,1,118.187645
-2.175426,4,118.399506
-1.907083,1,118.609912
-1.537909,1,118.787183
-1.812198,1,119.001474
-3.709033,4,119.298211
-3.757942,19,119.664032
0.347205,50,120.415273
-4.471453,7,120.692956
-1.787572,2,120.915501
-1.495534,3,121.083632
-1.341259,1,121.287503
-4.65095,8,121.537219
8.02513,18,121.918203
-0.914221,1,122.133378
-2.449814,18,122.490988
-6.530868,17,122.881781
-2.351163,29,123.390028
6.232867,7,123.673557
1.714031,18,124.066758
1.182421,15,124.459456
-1.226643,24,124.916334
1.188655,38,125.524415
-1.467204,1,125.758407
-1.25688,1,125.980785
-1.699593,1,126.198284
-1.743313,1,126.459605
-6.939671,7,127.371171
-2.014278,20,127.748852
-4.511013,5,128.001959
0.875375,33,128.517499
-0.59882,2,128.720449
-1.768641,3,128.896559
-5.884005,13,129.202122
-2.850577,8,129.482143
-1.114559,1,129.682356
-7.665942,31,130.20814
-4.564038,25,130.685544
-6.222352,23,131.133831
-1.98619,1,131.355636
-0.831913,1,131.566327
5.768233,5,131.873176
-1.850677,8,132.15864
-12.033496,56,132.90097
-1.032717,2,133.215026
-3.409351,4,133.48139
-1.744958,1,133.695906
0.014159,18,134.069202
-8.698042,43,134.737683
-2.869098,15,135.105365
-2.58167,5,135.343241
-6.510884,22,135.813454
-3.245383,22,136.206713
-2.864884,2,136.420563
4.008661,7,136.67366
-1.302631,1,136.855811
-2.73984,10,137.187911
-1.451448,1,137.413406
-1.952942,8,137.684599
-2.971007,14,138.004129
-0.833111,1,138.227153
-1.703621,1,138.414531
5.57192,6,138.673004
-9.056485,12,138.953598
-0.583536,20,139.384776
-2.741382,12,139.716744
-0.956737,1,139.889858
6.690421,5,140.091108
-0.378876,25,140.569913
-2.120335,21,141.002731
4.159265,53,141.734313
1.411109,26,142.172613
-2.635461,6,142.467195
6.895353,4,142.650576
-8.783447,16,143.020066
0.651276,23,143.437233
-0.725244,10,143.715985
-1.602806,11,144.068238
-2.312015,1,144.289353
6.408405,35,144.837336
-11.291151,62,145.671727
-1.455915,1,145.917336
-3.562845,4,146.128716
-3.691898,14,146.428556
-1.591427,3,146.62761
-0.971574,1,146.865797
-0.978566,23,147.297838
-9.460858,24,147.741072
-1.843227,18,148.100942
-0.82157,16,148.46895
-2.147785,5,148.722695
-4.230167,25,149.160807
-1.360031,1,149.360136
-1.393947,1,149.632241
-2.782069,6,149.849774
-1.30909,1,150.075174
1.748702,25,150.530835
-1.163226,1,150.774861
6.396136,9,151.055422
-3.104324,6,151.291484
2.76913,14,151.636014
-0.845354,1,151.852506
-4.48439,8,152.164796
-2.874898,5,152.401233
-1.692476,1,152.60142
-4.737542,22,153.100956
-2.086166,2,153.305039
-4.40731,19,153.673258
1.667555,39,155.182093
-0.826148,1,155.37055
-2.944402,6,155.672465
-5.179973,28,156.158776
-1.578175,2,156.362233
-1.624133,9,156.639811
-5.561327,16,157.058742
8.283985,16,157.406078
6.265795,60,158.29273
4.940047,10,158.573111
6.198976,8,158.854239
-9.092439,16,159.213721
-2.415667,48,159.944023
-1.221942,1,160.2044
-1.28525,10,160.526021
-0.804233,1,160.701296
-4.087409,15,161.045514
2.08987,16,161.386055
-1.277611,1,161.556332
-2.071041,2,161.808127
-1.371448,1,162.012849
-1.30091,1,162.205631
-3.108289,5,162.487357
-10.379358,36,163.066243
-1.794698,1,163.273557
-4.188188,25,163.713202
-0.992197,1,163.902596
-1.330273,1,164.128149
-1.395375,2,164.380237
0.828029,20,164.72437
5.844273,8,164.989507
-1.459675,1,165.188905
-7.22862,15,165.527773
-0.784665,3,165.772958
10.881619,17,166.120265
-2.524451,11,166.459779
14.920572,58,167.282203
-1.796778,2,167.554038
-0.977449,40,168.142075
3.518588,10,168.391448
9.448537,20,168.770761
-1.367117,1,168.982363
1.828603,15,169.309783
6.607252,4,169.544948
-0.965517,1,169.788198
-4.508703,16,170.160536
-1.661284,1,170.381429
