#{"t_start": 1775738189.1415985, "env_id": "None"}
r,l,t
-4.515375,12,6.252187
-10.270861,12,6.660417
-10.105636,12,7.072445
-50.208001,140,11.338113
-16.982596,12,11.736802
-16.714401,12,12.15302
-8.778574,12,12.545924
-8.358473,12,12.912987
-16.065536,12,13.268812
-12.184233,12,13.642684
-4.697885,12,14.252018
-12.050182,12,14.632276
-11.27439,12,15.002348
-17.137314,12,15.412232
-4.371598,12,15.820357
-16.398255,12,16.23979
-16.556116,12,16.65824
-9.647268,12,17.109373
-5.100408,12,17.498982
-13.726583,12,17.882715
-18.94509,46,19.297064
-5.145613,12,19.691998
-15.64806,12,20.087458
-11.321321,12,20.442007
-13.252995,12,20.839621
-4.160792,12,21.211852
-3.981209,12,21.737517
-11.071778,12,22.126912
-11.100664,12,22.563829
-16.520932,12,23.222686
-16.344696,12,23.649145
-9.156591,12,24.065966
-10.067683,12,24.425014
-6.004244,12,24.799953
-9.777815,12,25.206555
-10.052231,12,25.64352
-11.901852,12,26.053334
-15.887871,12,26.433437
-16.067405,12,27.063581
-16.797153,12,27.623075
-13.541647,12,27.992085
-8.628198,12,28.350421
-4.698117,12,28.734508
-9.674801,12,29.116465
-12.098429,12,29.466612
-4.16607,12,29.866135
-4.90958,12,30.223156
-9.785824,12,30.58821
-9.736728,12,30.970895
-40.346956,57,32.68774
-10.071368,12,33.063164
-5.571111,12,33.431249
-10.615825,12,33.794212
-10.936456,12,34.145364
-15.753805,12,34.509419
-12.987637,12,34.869617
-6.061204,12,35.213591
-15.126194,12,35.588224
-15.883085,12,35.932165
-9.966801,12,36.290588
-16.008828,12,36.604175
-3.902243,12,36.900431
-11.259335,12,37.214623
-12.919267,12,37.560266
-10.947879,12,37.906869
-10.430526,12,38.256712
-14.863936,12,38.632
-10.235769,12,38.985997
-15.153219,12,39.612194
-10.310358,12,39.995013
-9.250963,12,40.363282
-10.051317,12,40.734586
-9.977975,12,41.145105
-11.940834,12,41.465071
-9.912293,12,41.788847
-11.928088,12,42.11843
-16.861058,12,42.4281
-16.502573,12,42.768901
-4.837979,12,43.120266
-9.418344,12,43.466859
-16.342654,12,43.844641
-11.208218,12,44.194674
-10.005215,12,44.569527
-8.631056,12,44.968363
-16.031544,12,45.307405
-14.290085,12,45.669978
-8.452509,12,46.01472
-10.203063,12,46.35828
-15.442693,12,46.662906
-17.972666,12,47.126128
-13.506514,12,47.452442
-14.569893,12,47.815981
-15.907043,12,48.15538
-17.842698,140,51.890164
-15.169045,12,52.203536
-13.608201,12,52.535876
-9.253583,12,52.889451
-11.438213,12,53.230162
-4.493494,12,53.586799
-9.675065,12,53.92361
-9.765262,12,54.50711
-46.135961,140,58.224537
-11.125761,12,58.574319
-13.644242,12,58.935959
-9.924881,12,59.285981
-9.514183,12,59.63295
-18.526088,12,59.999685
-5.559595,12,60.376228
-10.613222,12,60.738129
-9.593516,12,61.06958
-3.632362,12,61.631962
-5.58238,12,61.968783
-9.813805,12,62.309912
-4.786738,12,62.691961
3.502616,86,65.264369
-9.566309,12,65.633955
-9.055294,12,66.019298
-4.708233,12,66.382992
-11.984789,12,66.724019
-42.784975,74,68.844528
-60.611084,90,71.656662
-5.705047,12,71.974653
-10.424549,12,72.281777
-4.435763,12,72.643865
-5.982834,12,73.008799
-14.349368,12,73.374494
-17.7544,12,73.756108
-13.00777,12,74.122156
-12.191545,12,74.480438
-14.638804,12,74.831817
-15.486365,12,75.189399
-10.053232,12,75.536552
-15.412879,12,75.898458
-4.098864,12,76.248867
-9.526006,12,76.597185
-4.58284,12,77.057515
-9.165437,12,77.369396
-4.375555,12,77.716776
-9.65385,12,78.078792
-5.140146,12,78.448455
-9.520318,12,78.839886
-11.150566,12,79.209269
-3.930721,12,79.566912
-4.181974,12,79.952643
-10.817682,12,80.311798
-14.427757,12,80.649745
-15.749158,12,81.004435
-5.832584,12,81.345071
-9.793095,12,81.660042
-16.095005,12,81.982572
-11.91433,12,82.288616
-4.220435,12,82.633798
-15.005614,12,83.000313
-4.729102,12,83.350865
-3.573504,38,84.645465
-16.559899,12,85.025804
-4.432953,12,85.393871
-14.722595,12,85.761674
-12.038674,12,86.108135
-9.573016,12,86.455659
-8.645176,21,87.009256
-3.564789,12,87.33032
-15.997601,12,87.690955
-18.061459,12,88.051253
-10.395739,12,88.397663
-9.788898,12,88.752684
23.387597,140,92.820869
-9.38108,12,93.169651
-9.444511,12,93.521484
-12.41176,12,93.885619
-10.312674,12,94.249984
-9.623016,12,94.601214
-10.064454,12,94.949174
-15.767585,12,95.301615
-18.448498,16,95.795833
-14.421412,12,96.173126
-11.124219,12,96.514704
-8.986969,12,96.852624
-7.083866,12,97.225305
-10.579535,12,97.592607
-4.752921,12,97.938449
-11.489864,12,98.308121
-9.252287,12,98.658323
-11.113145,12,99.030071
-6.010449,12,99.366962
-9.309606,12,99.924782
-3.842598,12,100.31166
-16.612529,12,100.652638
-8.357141,12,101.017219
-10.896753,12,101.352609
-8.389226,12,101.714549
-16.616041,12,102.057008
-10.594817,12,102.388907
-14.890753,12,102.739226
-16.35551,12,103.098714
-14.269284,12,103.455211
-17.077822,12,103.820503
-10.448992,12,104.177992
6.162828,91,106.755187
-8.018099,12,107.086967
-8.434165,140,111.154923
-3.664149,12,111.498166
-65.443181,140,115.640797
-14.412122,12,115.995057
-10.461386,12,116.343175
-16.115383,12,116.704877
-10.707378,12,117.073365
-11.824287,12,117.409868
-9.292802,140,121.275589
-16.482706,12,121.627161
-10.417185,12,121.989646
-9.789802,12,122.523949
-16.246837,12,122.873652
-9.643881,12,123.228021
-5.004554,12,123.585685
-11.207749,12,123.954555
-10.730791,12,124.362447
-14.257178,12,124.73131
-10.658518,12,125.107646
-10.79688,12,125.480825
-11.59807,12,125.836046
-9.40704,12,126.218743
-9.099711,12,126.590838
3.619659,140,130.879459
-9.957885,12,131.255913
-13.712595,23,131.900486
-14.248111,12,132.254714
-10.850274,12,132.583796
-3.372621,12,132.94888
-15.431694,12,133.345948
-9.107222,12,133.674055
-10.493043,12,134.02341
-11.62777,12,134.386378
-17.251713,39,135.512921
-4.26377,12,135.860156
-17.021028,12,136.22043
-4.219946,12,136.568885
-6.470263,12,136.928007
-8.879045,12,137.321299
-10.724034,12,137.926969
-4.039384,12,138.303312
-15.775978,12,138.659029
-9.60813,12,139.015906
-11.121615,12,139.371157
-4.122171,12,139.711921
-11.427125,12,140.102665
-13.913722,50,141.499402
-13.845278,12,141.849621
-9.71269,12,142.215954
-11.102574,12,142.587318
-6.502254,12,142.99703
-12.103707,12,143.361714
-4.957905,12,143.704167
-15.697229,12,144.073708
-4.679656,12,144.427277
-5.242028,12,148.375989
-9.462101,12,148.735934
-14.623181,12,149.103024
-15.414151,12,149.696656
-18.824417,12,150.047198
-16.515881,12,150.387124
-15.553184,12,150.722434
-9.519088,12,151.032686
-11.711571,12,151.350417
-3.581446,12,151.673565
-15.243629,12,151.994193
-16.396082,12,152.313043
1.543112,140,155.68821
-18.057205,12,156.198644
-4.774878,12,156.515045
-11.577253,12,156.823009
