#{"t_start": 1775880482.3250632, "env_id": "None"}
r,l,t
35.184951,7,3.634923
16.698522,19,3.961533
34.794409,20,4.254848
36.249696,8,4.428271
34.959157,7,4.593099
29.707724,17,4.85056
41.337249,9,5.075803
30.441989,7,5.232243
36.799867,8,5.461064
29.246982,17,5.741563
33.811547,6,5.916573
52.088715,30,6.347136
40.79433,12,6.555706
36.310294,7,6.704566
28.302153,9,6.881328
64.44533,16,7.187254
35.795894,7,7.367311
34.472973,7,7.530044
34.40316,18,7.792784
33.733487,7,7.954808
33.648905,8,8.121077
34.368913,7,8.283917
33.551508,7,8.487338
33.776904,7,8.648486
33.676268,7,8.803245
36.067727,7,8.959911
36.805048,7,9.11544
35.254631,7,9.272807
43.146886,24,9.595809
35.179773,7,9.817076
35.154352,10,10.01571
22.027865,11,10.232766
36.984768,7,10.396102
31.577718,18,10.652621
12.413287,12,10.895553
35.07208,7,11.081549
36.337157,7,11.258142
33.793088,7,11.454684
43.754528,11,11.702431
31.55072,8,11.881548
31.551891,10,12.121521
31.57998,9,12.315337
33.766102,7,12.493475
20.441836,11,12.700753
36.396,8,12.881595
34.907588,32,13.349707
32.60512,18,13.632633
33.371108,8,13.831824
23.034409,12,14.021938
36.723036,7,14.189702
47.073066,11,14.378157
40.471246,9,14.593896
38.054183,11,14.782791
34.370368,7,14.940791
24.738836,30,15.385597
35.78085,7,15.530492
33.809364,6,15.70732
32.271824,6,15.856338
35.430604,7,15.994082
35.15542,7,16.166117
40.339753,21,16.449386
35.622753,9,16.6654
43.02077,14,16.907233
42.522189,12,17.114236
27.055022,13,17.327925
33.944112,6,17.479717
33.265162,8,17.659726
20.517865,14,17.914196
37.967485,7,18.096164
31.344678,8,18.248546
21.196924,13,18.482652
29.830636,8,18.674906
27.665003,25,19.019674
36.809203,7,19.203861
20.188516,11,19.451584
41.171992,10,19.644442
34.052453,6,19.806321
36.376382,9,19.987503
45.184119,14,20.231457
35.029232,8,20.401338
26.218206,17,20.67334
34.889728,7,20.823814
44.757305,12,21.040801
30.329494,12,21.243659
49.872188,17,21.51633
16.239755,10,21.69018
35.694429,6,21.820125
30.510598,17,22.1023
30.807519,8,22.287358
42.802155,36,22.741208
33.880885,7,22.876089
34.809265,7,23.585826
43.0487,30,23.986068
35.618275,13,24.235987
29.456832,12,24.463982
40.662759,21,24.777626
33.982927,7,24.941257
32.450977,8,25.113402
34.980916,12,25.366691
31.380758,6,25.497085
34.759539,10,25.712555
39.798409,10,25.958515
38.523804,10,26.184837
46.420183,11,26.382714
