#{"t_start": 1775523386.152956, "env_id": "None"}
r,l,t
53.706152,82,18.965011
44.221326,79,20.955637
24.167168,13,21.906772
53.472941,79,39.464481
-43.077774,77,42.777149
49.021199,85,45.623662
61.861739,79,48.121027
101.868745,80,50.98159
86.681122,84,54.103215
-80.025835,78,56.72964
101.042383,81,60.634742
89.086547,81,63.226813
62.595072,80,66.602299
74.625903,83,70.675214
28.942246,16,71.751894
89.790904,79,74.598285
79.112751,80,77.291947
22.283251,9,77.775487
60.160056,80,81.168396
-3.814034,81,83.884444
28.691329,13,84.488401
77.088784,77,87.947416
23.882467,12,88.602921
62.455719,82,92.308827
76.497873,81,95.211952
57.817241,81,98.125699
-17.589442,82,101.875652
84.015621,80,104.823346
40.550934,81,107.764865
122.023005,80,111.456045
76.38106,82,114.219731
-10.490352,82,117.177898
-12.569142,80,121.099024
82.166984,80,123.937596
81.493738,79,126.740942
32.151412,15,127.340933
79.279699,81,130.868757
111.400609,81,133.698581
92.939319,79,150.930776
78.680222,84,154.437557
86.134572,81,157.339476
117.995874,84,160.16138
120.100969,80,163.016243
77.323055,79,167.29293
24.991063,13,167.907838
105.252161,78,170.592444
91.89534,83,173.784596
127.559071,83,178.28377
126.601137,83,181.381913
97.263262,84,184.62569
44.008927,78,188.214926
126.352104,81,190.970774
97.19355,79,193.737988
147.071576,83,198.085268
97.588653,79,200.895765
3.664764,80,203.846333
-55.967879,77,207.961331
108.920832,76,210.787085
10.530719,79,213.877762
62.378929,84,217.504787
106.195605,81,220.738971
127.784152,82,224.037394
113.485847,81,226.872661
107.116136,79,231.022672
105.438893,84,233.924203
133.259283,79,237.170595
117.196425,83,240.744473
-19.242275,79,244.626258
132.600718,83,247.271449
147.599022,82,250.720849
128.822214,83,267.751722
170.903075,82,270.541037
130.93538,83,274.25561
19.815127,84,277.893625
134.160592,80,280.784483
113.971418,84,285.106689
130.652356,82,288.004092
113.152938,80,291.686576
151.292837,80,295.596549
154.541731,82,298.423661
125.749931,81,301.105346
129.949552,82,304.685092
125.443466,78,307.496948
134.380781,78,310.443673
30.833152,13,311.401263
108.855599,80,314.941885
161.832629,79,318.077505
87.370741,82,320.947873
131.345678,83,323.756491
26.258884,12,325.083927
201.329932,80,328.178767
3.850364,74,330.84343
93.115507,81,333.921777
139.062168,83,337.097302
-38.138539,73,339.885355
101.597601,79,342.664385
123.775179,84,347.414265
157.118221,80,350.195277
148.184986,81,353.275409
173.41903,83,356.485546
122.39821,81,359.648909
152.496529,79,362.759723
