#{"t_start": 1775528891.644947, "env_id": "None"}
r,l,t
-1.138279,1,2.68098
-1.836736,1,2.925109
-1.466901,1,3.121758
-1.759422,1,3.375219
-1.710431,1,3.663591
-1.580139,1,3.905241
-1.595086,1,4.103209
-1.092989,1,4.361851
-1.083206,1,4.605759
-1.363559,1,4.844597
-1.548584,1,5.134598
-1.684404,1,5.407539
-1.667553,1,5.713469
-1.732474,1,5.93975
-1.281146,1,6.203461
-1.551412,1,6.468568
-1.250263,1,6.736677
-1.929125,1,6.932232
-1.626025,1,7.189345
-1.194258,1,7.425381
-1.118863,1,7.699483
-1.620122,1,7.966758
-1.587576,1,8.205505
-1.133821,1,8.439326
-2.086469,1,8.706322
-1.656679,1,8.997807
-1.886937,1,9.282027
-1.718994,1,9.475851
-1.519076,1,9.712387
-1.182388,1,9.964537
-1.382178,1,10.223635
-1.696905,1,10.509821
-1.648004,1,10.724676
-1.016922,1,10.94364
-2.018468,1,11.172615
-1.315616,1,11.389096
-1.551752,1,11.629437
-2.03423,1,11.829775
-1.725368,1,12.084211
-0.977086,1,12.363751
-1.415503,1,12.583357
-1.190835,1,12.883942
-1.076928,1,13.131878
-1.339417,1,13.338843
-1.785223,1,13.556818
-1.194404,1,13.803371
-1.309461,1,14.004354
-2.041523,1,14.246936
-1.604423,1,14.513421
-1.619615,1,14.797616
-1.55486,1,15.076564
-1.7889,1,15.367133
-1.855989,1,15.620583
-1.795868,1,15.867213
-1.253615,1,16.118956
-1.383119,1,16.337071
-1.122624,1,16.567965
-1.708385,1,16.853699
-1.497955,1,17.129759
-1.662001,1,17.379237
-1.673504,1,17.704933
-1.887775,1,17.959762
-1.413604,1,18.201277
-1.764326,1,18.434805
-1.539035,1,18.659035
-1.769637,1,18.899485
-1.902898,1,19.19856
-1.697234,1,19.479884
-1.38565,1,19.805376
-1.652471,1,20.107302
-1.170248,1,20.42419
-1.270379,1,20.764599
-1.859778,1,21.010815
-1.615094,1,21.266497
-1.226855,1,21.535054
-1.159389,1,21.811057
-1.214496,1,22.01338
-1.843658,1,22.233236
-1.279111,1,22.478065
-1.62614,1,22.804675
-1.792307,1,23.015228
-1.356836,1,23.229822
-1.497186,1,23.456654
-1.159717,1,23.6738
-1.54706,1,23.912252
-1.256385,1,24.159192
