#{"t_start": 1775460455.840618, "env_id": "None"}
r,l,t
33.533245,220,5.020805
23.302769,220,7.569111
18.114223,220,10.045663
48.643737,220,12.497544
57.831918,220,15.6752
39.869893,220,18.148853
49.344635,220,20.650537
72.864819,220,23.192077
51.936127,220,25.627169
45.942138,220,28.668881
67.564655,220,31.173313
55.823798,220,33.664641
45.428394,220,36.21978
73.665929,220,39.491545
49.256995,220,41.971236
26.558121,220,44.48885
21.23582,220,46.9831
40.77981,220,49.530855
25.17571,220,52.870167
45.631755,220,55.339451
48.891683,220,57.842066
67.30574,220,60.335782
38.267343,220,62.871148
61.529638,220,66.163785
103.573279,220,68.724415
52.748702,220,71.187937
48.394043,220,73.68347
52.989328,220,77.01431
63.099954,220,79.523977
38.588196,220,82.012168
39.751146,220,84.444762
48.202491,220,87.003552
72.833005,220,90.503705
49.441609,220,93.060592
51.920038,220,95.573157
58.399454,220,98.093172
38.03831,220,100.613313
65.569729,220,103.816177
57.305816,220,106.359716
61.75031,220,108.851416
68.41131,220,111.449303
72.17773,220,114.862734
83.271803,220,117.340743
84.368925,220,119.807553
43.98415,220,122.357353
62.416534,220,148.924503
73.808014,220,151.57335
58.646216,220,154.071425
64.179249,220,156.553406
73.010035,220,159.085607
61.640507,220,161.618947
57.64063,220,165.07698
50.561835,220,167.562884
66.824146,220,170.112187
44.674057,220,172.732442
59.373034,220,176.768138
55.066134,220,179.291595
62.716189,220,181.995327
66.068898,220,184.537264
81.873401,220,187.005389
39.877037,220,190.092708
60.691697,220,192.529453
84.824713,220,195.143908
67.851942,220,197.664135
66.998823,220,200.134803
59.837128,220,203.436927
56.082101,220,205.889612
74.041104,220,208.379539
50.603095,220,210.932091
83.474022,220,214.143551
58.783642,220,216.776071
50.849945,220,219.371544
70.213834,220,221.867449
63.621606,220,224.323719
56.201802,220,227.581169
70.495214,220,230.0842
55.639063,220,232.48759
66.942207,220,234.987695
75.503203,220,237.533912
55.146749,220,240.942991
64.554714,220,243.458927
64.600328,220,245.931714
74.790004,220,248.448381
74.420692,220,251.600513
96.886504,220,254.171205
61.31173,220,256.676556
56.29118,220,259.149558
60.040296,220,261.609633
61.143439,220,265.041733
63.557335,220,267.59833
78.366034,220,296.358736
63.174838,220,298.894649
51.232157,220,301.443641
66.813627,220,304.523527
62.037285,220,307.025515
73.077966,220,309.552474
66.173869,220,311.982552
64.229685,220,315.642509
82.48426,220,318.145641
67.083164,220,320.583338
54.798936,220,323.102682
72.065984,220,325.622156
54.336923,220,328.793124
67.025911,220,331.22362
77.571654,220,333.748955
63.494885,220,336.166028
64.034077,220,338.663776
56.998769,220,341.813441
67.307825,220,344.335947
70.926125,220,346.855381
64.222203,220,349.369948
71.877303,220,352.534733
53.006101,220,355.15372
86.332977,220,357.697077
60.455708,220,360.112004
66.548793,220,362.599384
79.790649,220,365.891518
64.18983,220,368.395131
63.989916,220,370.930787
62.646821,220,373.507507
67.548284,220,376.032651
68.613537,220,379.363599
79.507299,220,381.918769
61.52159,220,384.473872
60.322717,220,386.968789
65.060512,220,390.157741
68.580147,220,392.630924
64.346521,220,395.098899
84.658622,220,397.622579
87.585907,220,400.237641
70.104944,220,403.543319
51.667471,220,405.960796
58.613323,220,408.448284
71.684018,220,410.975791
81.339833,220,414.319327
56.015001,220,416.81665
63.543445,220,445.022436
66.728765,220,447.49868
65.101527,220,449.946417
74.60527,220,453.241367
77.236781,220,455.844495
68.76692,220,458.362616
76.432779,220,460.928092
71.024285,220,463.426069
83.915029,220,466.831497
86.574345,220,469.349548
67.957734,220,471.832162
59.272549,220,474.327683
70.050139,220,477.408023
80.636205,220,479.870892
73.077897,220,482.404296
76.562748,220,484.893787
58.280225,220,487.395193
62.043424,220,490.467006
73.373196,220,493.179105
69.066983,220,495.640404
56.937592,220,498.090838
67.992842,220,500.593793
69.85258,220,504.234646
59.642278,220,506.906096
71.094355,220,509.635065
60.551838,220,512.076033
76.467283,220,515.360413
82.134437,220,517.832168
57.271348,220,520.305327
65.525163,220,522.797093
65.488159,220,525.299132
59.168489,220,528.324968
64.675071,220,530.792629
88.038984,220,533.297746
67.493054,220,535.714005
63.587074,220,538.151949
70.843317,220,541.441346
82.202185,220,543.961731
79.015675,220,546.45233
65.913476,220,548.911681
61.382059,220,551.948355
68.584148,220,554.428189
59.12783,220,556.887332
58.998421,220,559.335591
59.519224,220,561.776616
59.582228,220,588.703309
70.515755,220,591.140201
58.945074,220,593.650623
62.431095,220,596.177114
92.209345,220,598.748713
69.306738,220,602.127776
77.335136,220,604.773432
84.687978,220,607.394468
51.998538,220,609.902234
59.888736,220,613.161338
75.157256,220,615.635861
69.576071,220,618.167974
76.397313,220,620.684517
79.557506,220,623.245132
64.272278,220,626.471936
68.174769,220,628.931048
55.175936,220,631.486081
78.85477,220,633.954721
81.319226,220,636.41757
73.345737,220,639.566025
61.720929,220,642.145062
87.012182,220,644.699739
72.129301,220,647.258885
64.946489,220,650.435495
63.124009,220,652.959653
63.00539,220,655.345197
68.652341,220,657.796759
73.301374,220,660.323826
71.825554,220,663.619956
76.161442,220,666.099001
95.76672,220,668.718329
102.038917,220,671.180483
76.544735,220,673.708691
65.888878,220,676.932491
60.415367,220,679.459172
85.439541,220,682.086928
64.062897,220,684.557095
67.145476,220,687.811495
65.092562,220,690.302388
71.883806,220,692.81343
67.209057,220,695.310569
83.887709,220,697.834846
64.372459,220,701.108866
76.467042,220,703.596178
76.36348,220,706.154135
63.739839,220,708.555531
68.02141,220,748.962105
70.662157,220,751.985248
60.530595,220,754.411362
82.782508,220,756.856659
74.751921,220,759.331894
65.309848,220,761.958917
65.779674,220,764.314428
68.496354,220,766.841949
78.293009,220,769.344992
72.331023,220,771.775428
56.335671,220,774.698112
54.885258,220,777.14816
63.992902,220,779.483375
65.444413,220,781.886083
77.6794,220,784.460228
66.180499,220,787.094714
62.872835,220,789.520605
61.279567,220,791.932976
81.686984,220,794.315504
65.177994,220,797.201081
68.616336,220,799.693016
71.330556,220,802.202277
73.267246,220,804.59284
74.720303,220,806.99933
60.874527,220,810.131914
78.497103,220,812.656977
77.768825,220,815.145712
69.377755,220,817.634978
59.533803,220,820.063997
