#{"t_start": 1775533985.6083987, "env_id": "None"}
r,l,t
-1.142128,1,2.327659
-1.692313,1,2.616273
-0.995577,1,2.840142
-1.572561,1,3.081662
-1.187333,1,3.31324
-1.770214,1,3.547316
-1.08565,1,3.766454
-1.461007,1,4.050772
-1.342326,1,4.340711
-1.295867,1,4.571589
-1.608184,1,4.804564
-1.41855,1,5.05863
-1.604752,1,5.312274
-1.120823,1,5.590848
-1.623307,1,5.834715
-1.235889,1,6.07413
-1.212829,1,6.329247
-1.995648,1,6.573353
-1.696146,1,6.837206
-1.120398,1,7.101105
-1.360511,1,7.372747
-1.585058,1,7.585618
-1.862133,1,7.871648
-1.147738,1,8.104201
-1.128251,1,8.322542
-1.603536,1,8.579502
-1.953532,1,8.837626
-2.032359,1,9.066137
-0.745786,1,9.293023
-1.637219,1,9.559885
-0.538958,1,9.777467
-1.326591,1,10.033693
-1.613219,1,10.262885
-0.554939,1,10.492653
-1.20911,1,10.804462
-1.846528,1,11.049434
-1.105669,1,11.270699
-2.288332,1,11.512987
-1.239165,1,11.746364
-1.845053,1,12.01695
-1.1264,1,12.285191
-1.541924,1,12.543385
-1.558929,1,12.797509
-1.117522,1,13.065478
-1.712081,1,13.31809
-1.254666,1,13.58927
-1.08356,1,13.860114
-1.509793,1,14.092103
-1.049194,1,14.333064
-1.732427,1,14.624727
-1.716206,1,14.851034
-1.613791,1,15.122213
-1.825545,1,15.381454
-1.477299,1,15.629413
-1.337219,1,15.912248
-1.757626,1,16.119659
-1.465091,1,16.328567
-1.620114,1,16.572814
-0.968663,1,16.7995
-1.699587,1,16.9954
-1.765624,1,17.213474
-1.02765,1,17.422199
-1.46631,1,17.662628
-1.239408,1,17.911222
-1.4374,1,18.103362
-1.832024,1,18.40578
-1.706136,1,18.685499
-1.288318,1,18.899658
-1.47376,1,19.126513
-1.668874,1,19.296269
-1.711736,1,19.491888
-1.609604,1,19.691642
-1.852402,1,19.887208
-1.581822,1,20.097003
-1.178445,1,20.269414
-1.632178,1,20.450575
-1.405347,1,20.682245
-1.099718,1,20.90533
-1.916762,1,21.111017
-1.650319,1,21.363333
-1.193304,1,21.550819
-1.593439,1,21.77195
-1.608192,1,21.937806
-1.093778,1,22.155636
-1.694705,1,22.365235
-1.945938,1,22.560236
-1.507349,1,22.760509
-1.919299,1,22.961859
-1.523238,1,23.205855
-1.67,1,23.421229
-1.414321,1,23.639741
-1.743628,1,23.847594
-1.353703,1,24.025947
-1.429505,1,24.203412
-1.476507,1,24.404099
-1.390892,1,24.613299
-1.266277,1,24.823058
