#{"t_start": 1775517624.6177135, "env_id": "None"}
r,l,t
24.26767,9,3.004261
24.430715,9,3.998136
23.474764,10,5.555833
-2.491018,17,7.839405
22.116607,9,9.154885
25.791914,13,10.736615
18.885012,9,11.709451
19.482828,10,12.738181
25.959821,11,14.200233
23.215909,17,15.665803
25.108521,11,16.97794
15.242253,13,18.708699
27.719332,11,19.505902
18.7545,10,20.837148
22.54787,10,21.584118
9.999582,12,23.207442
25.094662,10,24.336908
27.6161,9,25.546523
28.380362,11,27.348282
23.231815,10,28.183194
28.332324,8,29.233261
21.210993,7,30.100512
26.208071,12,31.430187
25.708276,8,32.420627
-2.715317,23,34.96283
20.088696,11,36.718603
23.304439,8,37.62178
24.362183,12,39.607845
18.297247,9,40.575416
20.101491,8,41.880977
20.889257,11,43.248953
0.25881,32,46.840285
25.008607,7,47.818853
27.99746,11,49.104158
26.075409,7,50.166586
19.00072,8,51.493023
32.685279,15,53.413225
32.478774,14,55.396469
24.60022,7,56.113136
21.595076,8,57.093553
29.286806,12,58.981833
1.760985,14,60.311109
26.173368,9,61.368501
2.212348,21,62.816848
25.444373,9,63.819489
23.252884,8,65.71698
22.785362,8,66.833498
19.295959,8,67.843194
24.507615,8,68.899524
22.098892,9,69.56006
24.224342,9,70.570284
27.576114,7,71.872087
21.592499,12,73.166053
2.55875,10,74.366237
23.633688,9,75.108788
23.644009,8,76.121783
1.710215,5,76.883977
26.802518,10,78.133142
22.076564,10,79.251166
24.605514,7,80.070747
21.276707,9,80.895824
3.460986,12,81.993065
20.083358,7,82.409761
19.670163,8,83.414062
30.43137,14,85.909102
22.773575,11,87.046323
24.230055,7,87.554139
31.424901,15,88.983116
25.655212,12,90.573479
24.227726,8,91.542957
4.291116,7,92.629797
21.977585,9,93.949321
24.462456,7,94.974096
21.909597,8,96.654273
25.380856,10,97.766837
9.267486,13,99.344374
20.312955,9,100.152148
24.284134,9,101.512001
25.414958,11,102.670464
22.745119,9,103.976879
4.48818,17,106.742164
27.854797,8,107.7548
21.788115,10,108.850138
19.804964,11,110.289945
24.134699,8,110.936478
6.405372,10,112.409433
21.676323,8,113.599357
24.780776,10,114.820886
23.183929,7,115.898785
20.857483,9,116.872889
2.972464,13,118.231412
23.428813,10,119.499544
24.928633,7,120.215839
27.707198,9,121.776158
16.742894,10,123.181148
28.465005,11,124.398687
27.438503,10,125.424695
-2.245464,16,127.576789
26.154402,8,129.299598
26.709917,9,130.589044
23.189476,8,131.895528
21.373174,9,133.08669
29.621396,10,134.193485
22.169518,9,135.319315
25.493838,8,136.309275
30.493101,10,137.4131
25.970299,11,138.540234
23.598022,8,139.567349
26.04575,8,140.776444
6.103112,10,141.904854
23.017817,8,142.900867
25.03837,7,143.819815
21.205813,8,144.809629
25.417119,13,146.457979
3.572271,13,148.071727
21.395041,8,149.0797
25.050494,10,150.026028
21.645936,9,151.034039
22.423448,13,152.110127
28.02469,11,153.388265
18.343113,10,154.235133
23.861324,7,154.923658
3.773348,9,155.591229
23.597812,8,156.731454
4.320255,15,158.810738
25.27548,9,160.480849
25.012508,8,161.171273
-0.628024,9,162.254995
21.687355,8,163.205276
24.205096,8,164.135571
19.782377,9,165.466364
5.786631,23,167.656971
26.178425,7,168.365683
26.098999,8,169.082913
8.54672,9,170.399639
19.111146,13,171.932967
23.89603,7,172.585509
28.018246,9,173.672981
16.173293,23,175.982513
22.814325,9,176.663252
29.760022,15,178.122603
21.92439,7,178.842246
23.13083,8,179.874352
24.710443,10,181.246422
23.237973,10,182.316618
24.137167,9,183.608954
25.345157,9,184.452145
25.190286,8,185.341655
21.455197,10,186.706487
29.683098,11,187.830207
27.296043,7,189.631021
27.089973,9,190.915645
23.36267,9,192.134255
22.713376,8,193.232678
27.744917,11,194.603401
24.033991,8,195.643702
20.837467,7,196.849784
26.099382,8,197.984244
26.009309,9,198.976336
24.927801,7,199.942675
-2.927179,12,201.253314
28.722743,12,202.567352
0.183822,15,203.875118
