#{"t_start": 1775521256.3039265, "env_id": "None"}
r,l,t
177.316421,81,20.70271
159.443562,57,22.853432
209.513763,81,25.700061
220.409036,84,29.993848
204.852539,80,32.917628
212.947042,81,35.84357
206.515902,82,39.362657
205.255949,79,42.498058
203.417195,78,45.373831
214.544798,83,49.365598
206.893403,77,52.487176
216.568556,84,55.516762
120.832936,41,57.504968
198.742106,77,61.197881
77.230187,26,62.408012
201.991772,79,65.445159
218.081957,82,68.489936
204.037936,81,71.737946
208.217603,81,75.05288
154.437983,55,77.516641
221.317229,83,81.710824
203.63154,78,84.835402
201.588415,80,87.953616
177.06306,63,90.578316
132.24205,49,93.642129
203.308099,81,96.580035
131.171317,49,98.279814
204.20156,79,101.401625
197.779665,78,105.194843
148.152245,55,107.635485
221.194009,80,110.905003
185.486224,76,115.258678
137.187655,54,117.021256
213.15016,83,120.284189
212.101531,83,137.564245
218.779691,82,141.552663
216.125579,82,144.55096
211.940629,83,147.890598
206.544647,78,152.047705
203.311244,80,154.937694
219.799778,80,158.176755
210.760384,84,162.705514
203.531386,81,165.495921
211.885743,79,168.498909
202.352123,79,172.038774
203.639439,81,174.950891
217.449389,82,177.707678
220.174356,83,181.421354
205.402278,76,184.429071
216.457237,84,187.650048
95.454458,33,189.097475
196.973158,78,192.945846
218.331795,82,195.994827
216.713929,83,198.96075
206.620586,82,202.5668
192.74169,75,205.485003
210.354815,83,208.411963
197.645919,83,212.330789
211.992198,82,215.759975
199.657029,80,219.309324
208.128725,80,222.671352
197.44112,78,226.217043
210.638184,82,229.15802
201.054027,80,232.132341
222.204672,84,235.95455
212.896603,82,254.755109
215.089303,82,258.359983
216.078922,82,262.178028
211.44561,81,265.388975
222.36827,84,268.507086
202.561924,82,272.561907
209.307412,80,275.684727
180.597698,70,278.279753
214.182496,82,282.449289
219.219583,84,285.48697
193.483403,77,288.154551
208.32512,80,291.560674
198.98215,79,295.895299
215.444274,84,298.898379
209.360145,81,301.817466
209.005682,79,305.941896
211.337814,82,308.92002
205.776683,80,312.278412
202.039755,78,315.897451
208.768731,81,318.882563
203.686479,80,321.833082
226.612696,83,325.521819
199.771735,82,328.504423
210.779753,82,331.48285
211.474909,79,335.803909
211.271121,81,338.701963
214.269656,82,341.684469
219.84226,82,345.755664
202.620105,80,348.724691
218.878744,81,351.675725
213.442985,77,355.112536
207.333514,82,358.762359
210.767494,82,375.906492
205.376903,80,378.542326
219.963099,81,382.130731
134.649012,50,384.149924
216.956065,83,387.127598
214.860428,81,390.693854
203.131229,80,393.582335
207.661424,82,397.015942
120.843941,43,398.96997
