#{"t_start": 1775520290.4626942, "env_id": "None"}
r,l,t
76.620275,27,3.407182
226.976797,82,5.941775
234.386916,87,8.633384
225.374756,87,13.093844
227.674944,85,15.762921
151.597106,54,17.732876
141.322942,49,20.630811
237.323853,87,25.022944
227.638821,87,28.161128
213.131314,82,31.421636
234.716353,87,35.651206
102.051504,35,37.659391
108.91027,37,38.715234
128.756012,46,40.91002
222.093395,83,43.823548
217.429493,83,47.484047
95.723303,32,48.666403
167.062779,62,50.97639
104.713602,39,53.047254
94.011316,34,54.421126
225.942201,86,58.391103
216.144319,84,61.944984
227.068563,84,64.87291
136.764745,50,67.911692
218.73844,81,71.37494
217.40159,84,74.301697
213.111731,85,78.038859
238.000917,87,81.572889
210.199396,84,84.646797
211.523405,81,88.135576
127.674329,45,89.838606
107.304754,39,91.292438
219.310867,88,94.529884
117.571359,41,96.324143
199.7952,79,100.24418
221.529508,83,103.131079
67.686122,23,103.826431
224.729943,84,120.812851
54.346792,17,122.868963
227.435143,83,125.477077
132.455491,46,127.267328
130.695144,47,129.008442
234.012764,87,133.019356
221.168639,83,136.303774
210.385405,80,138.711443
151.081642,54,141.177613
225.352569,85,145.233122
239.063797,84,147.930724
229.183915,87,151.421258
235.969192,86,155.192477
220.798291,86,158.671752
227.35383,84,161.437576
152.126373,54,164.18709
211.424837,81,166.889512
211.706826,81,169.754509
226.977555,86,173.407993
237.108187,86,176.343044
140.203407,51,178.54475
206.149346,81,181.404101
232.962733,86,184.823142
216.740048,82,188.055472
215.264688,84,191.204349
221.639539,86,195.322336
217.596105,85,198.462092
217.480895,79,200.965867
220.258262,83,204.447142
207.668117,82,207.32108
68.251671,28,208.741657
210.67757,75,210.644307
216.590581,85,214.407416
90.248574,32,216.026545
89.875677,36,231.824675
210.097996,83,235.358061
224.991287,85,239.322927
218.390903,85,242.603735
170.548094,59,244.63068
231.290674,87,247.867885
224.91827,84,250.561569
237.080307,89,253.906754
220.912591,81,257.625912
220.667414,85,260.800832
219.118549,86,263.794127
222.943604,83,267.448997
204.678785,83,270.685811
91.898137,32,271.89592
215.234752,83,274.686374
87.071616,31,276.289863
213.489494,83,279.878524
224.520926,87,282.750584
96.806717,35,284.433955
230.914736,85,288.229666
198.021205,76,290.559152
235.032911,87,293.512886
228.459615,84,297.42404
219.161049,87,300.351809
221.487152,84,303.091001
61.176844,25,304.156971
